date,SE1,SE2,SE3,SE4,SE
2017-12-04,33009.778676,54309.767303,301712.575903,85072.357986,474104.479868
2017-12-05,34273.916501,55225.279537,300177.414517,81792.931568,471469.542123
2017-12-06,35761.892618,55879.657467,295609.868273,78311.364607,465562.782965
2017-12-07,35862.104005,55845.744676,280429.548867,79143.191847,451280.589395
2017-12-08,32050.591171,50853.529732,274043.279505,79442.885612,436390.28602
2017-12-09,30914.847594,48989.28861,256953.903101,73528.900121,410386.939426
2017-12-10,29975.994735,50777.208575,265097.273515,75694.204103,421544.680928
2017-12-11,31733.591594,53599.136955,299817.750226,86924.440239,472074.919014
2017-12-12,31941.348526,55625.976013,303925.530043,86861.353169,478354.207751
2017-12-13,32178.558236,57221.98119,306593.053444,85985.854427,481979.447297
2017-12-14,35560.426471,58609.851033,291646.51816,85728.248036,471545.0437
2017-12-15,33321.490498,55093.846621,287228.862789,83367.9599,459012.159808
2017-12-16,31953.267063,53194.31874,273082.374288,77385.92039,435615.88048099994
2017-12-17,34253.040647,56493.315678,291531.050173,80849.612185,463127.018683
2017-12-18,36793.491004,58050.681997,306167.476185,89035.105046,490046.754232
2017-12-19,35348.533403,56966.533513,298674.347584,86064.374341,477053.78884099994
2017-12-20,31789.096022,55396.206765,290340.140025,85081.631803,462607.074615
2017-12-21,31391.656768,54796.363521,292095.129839,80833.524751,459116.674879
2017-12-22,32080.181736,55394.52294,291958.481326,78856.82067,458290.006672
2017-12-23,30754.485511,48850.262246,253071.092094,66157.333357,398833.173208
2017-12-24,31920.965788,48149.897869,239333.34365,59727.274791,379131.482098
2017-12-25,32161.885836,51682.129364,243623.62799,60588.395008,388056.038198
2017-12-26,32497.2654,53677.574912,241955.751374,64376.948368,392507.540054
2017-12-27,33905.974377,55040.178188,266291.944305,72615.248158,427853.345028
2017-12-28,34602.859228,56035.820581,263444.51824,74602.330891,428685.52894
2017-12-29,34656.93093,54119.489186,264730.084929,75340.184719,428846.689764
2017-12-30,30646.937291,51228.731405,258687.848707,73570.92507,414134.442473
2017-12-31,31173.638395,53939.562486,245893.848477,67849.441161,398856.490519
2018-01-01,30037.419779,48735.291193,241045.280226,63336.519967,383154.511165
2018-01-02,31191.075266,52266.271939,270717.343517,75004.445376,429179.136098
2018-01-03,31951.76641,55774.716165,282207.966574,80364.043228,450298.492377
2018-01-04,34754.555082,58607.044276,281397.070965,80473.384276,455232.054599
2018-01-05,33293.245671,57684.774106,280499.536382,78983.561641,450461.1178
2018-01-06,30740.284274,56642.990857,281545.356537,75046.841633,443975.473301
2018-01-07,31765.951683,53413.654396,291112.711361,82286.176346,458578.493786
2018-01-08,32961.414881,56236.785598,306070.666633,89273.226758,484542.09387
2018-01-09,31568.201318,55737.815586,304466.977869,89215.095621,480988.090394
2018-01-10,33144.704869,62762.909699,319207.432145,84944.67246,500059.7191730001
2018-01-11,35262.92525,66917.278869,307318.919133,84253.667063,493752.790315
2018-01-12,35169.398004,65964.099221,297357.999633,85457.247954,483948.744812
2018-01-13,32775.880833,60857.358173,276853.564749,79796.502769,450283.306524
2018-01-14,31973.572067,57210.640478,274711.204675,81553.470872,445448.888092
2018-01-15,32206.534635,56153.253666,307314.134329,91908.724783,487582.64741300006
2018-01-16,32501.990825,57716.488788,300490.663751,88608.764922,479317.908286
2018-01-17,33821.042209,56525.890969,300276.766643,86245.718724,476869.418545
2018-01-18,33780.203627,58293.228475,303830.596137,86944.788286,482848.816525
2018-01-19,35488.13721,59742.02222,303321.69914,86113.225402,484665.083972
2018-01-20,34368.427091,56680.730434,283051.28031,77706.949999,451807.387834
2018-01-21,34134.473833,55547.181501,293432.063552,77341.119949,460454.838835
2018-01-22,36735.230162,60908.713494,321942.574813,88505.00877,508091.527239
2018-01-23,38787.784116,60763.044814,314191.907895,90591.302361,504334.039186
2018-01-24,36222.246068,53352.255376,287216.324042,82275.428036,459066.253522
2018-01-25,33080.233729,52696.642436,274801.508111,80440.115569,441018.499845
2018-01-26,34574.046357,54518.516188,273990.181157,79929.64482,443012.388522
2018-01-27,33445.521245,51986.022735,265662.184343,71946.526994,423040.255317
2018-01-28,32186.206074,50265.93294,260600.099074,70837.686278,413889.924366
2018-01-29,34719.16272,53931.222511,289188.543469,80156.43623,457995.36493
2018-01-30,34342.500787,54652.838744,296885.126154,81124.332347,467004.798032
2018-01-31,31288.346439,55498.370177,294710.827363,82526.699216,464024.243195
2018-02-01,32737.221918,57666.229624,289475.698062,83786.600265,463665.749869
2018-02-02,34709.00188,60117.221156,307307.886418,84578.982682,486713.0921360001
2018-02-03,33953.924121,57786.037396,295435.172748,82827.153165,470002.28743
2018-02-04,34998.136385,59422.439697,298302.74431,81741.315514,474464.635906
2018-02-05,37930.623582,64807.529101,339016.848726,97070.413984,538825.415393
2018-02-06,37895.785357,61658.931195,337093.689898,100703.588729,537351.995179
2018-02-07,36097.540428,62000.172163,332309.520866,96077.963658,526485.197115
2018-02-08,37234.673087,62647.629256,314235.80756,91462.748056,505580.857959
2018-02-09,34183.34104,58402.317576,306767.998181,89919.370023,489273.02682
2018-02-10,31348.337177,54877.380039,291878.989847,81454.059473,459558.766536
2018-02-11,31046.635718,50564.48074,282567.864765,80510.296173,444689.277396
2018-02-12,33198.324786,54695.756804,301471.31126,87967.330153,477332.723003
2018-02-13,33018.896912,54583.343341,293561.635905,87871.549739,469035.4258969999
2018-02-14,32017.562889,54952.229027,300340.098446,87694.032123,475003.9224850001
2018-02-15,31711.834016,55159.942035,302429.33796,90429.607828,479730.72183899995
2018-02-16,32655.136356,54862.396139,295413.626078,85434.125984,468365.284557
2018-02-17,31511.35253,51255.285252,272632.62776,75615.828625,431015.094167
2018-02-18,32188.594095,51435.161381,271454.26367,74965.473743,430043.492889
2018-02-19,35459.086778,57029.529129,304052.72724,85307.182856,481848.526003
2018-02-20,36773.83359,60387.028036,314379.134466,87574.511041,499114.50713300006
2018-02-21,37639.380731,62052.441607,321923.174484,87673.778604,509288.775426
2018-02-22,37610.093659,60022.35082,322916.666328,89736.228636,510285.339443
2018-02-23,36712.407291,59303.667072,312763.185194,90545.280894,499324.540451
2018-02-24,36350.67709,57008.0809,300900.659318,83144.704281,477404.1215890001
2018-02-25,35648.514738,58828.585317,307180.559786,86619.028012,488276.687853
2018-02-26,34506.338312,62979.070485,340104.286543,97966.194961,535555.8903010001
2018-02-27,34357.926586,63568.221435,356836.765832,104733.351035,559496.264888
2018-02-28,35763.701327,66052.788643,368589.633759,108406.490954,578812.614683
2018-03-01,32781.991629,64488.924477,354064.755747,104091.829172,555427.5010249999
2018-03-02,32366.483318,62551.567964,337534.074678,97089.543988,529541.669948
2018-03-03,30485.537447,55971.973979,306826.458483,85167.855092,478451.825001
2018-03-04,30445.917396,51660.87153,299108.80413,82947.00541,464162.598466
2018-03-05,33129.210962,57507.255382,321079.271797,91166.090838,502881.828979
2018-03-06,33525.067727,59174.270443,307084.60591,84117.811126,483901.755206
2018-03-07,33781.881099,58565.99946,301847.441004,86701.132978,480896.454541
2018-03-08,32981.13975,57622.619179,303394.303662,86338.571604,480336.634195
2018-03-09,33301.053995,57954.524102,295246.5721,84017.99576,470520.145957
2018-03-10,30877.444631,53659.317509,279124.552202,77353.187707,441014.502049
2018-03-11,30070.904144,51796.695458,275873.573919,75675.698295,433416.871816
2018-03-12,33599.207897,57124.935751,288821.079621,80527.692864,460072.91613299993
2018-03-13,32919.821931,54269.907859,289147.753119,82087.924373,458425.407282
2018-03-14,33902.044517,54921.386573,295177.614702,85908.663926,469909.709718
2018-03-15,33188.454464,58015.244258,312770.979168,90317.586977,494292.264867
2018-03-16,32837.75076,59534.07325,321505.411153,92686.40402,506563.6391830001
2018-03-17,31549.593655,55647.914607,298422.249791,86089.10365,471708.861703
2018-03-18,29156.794031,50887.460724,287605.600631,80998.310467,448648.165853
2018-03-19,30712.129934,52743.472999,297456.293472,88518.004697,469429.901102
2018-03-20,31055.127633,52372.37308,291752.768909,84690.422941,459870.692563
2018-03-21,29726.511378,49670.899592,285210.64149,86400.073858,451008.126318
2018-03-22,29584.81932,49248.930827,280671.313015,85297.937317,444803.000479
2018-03-23,31887.728028,51528.899005,276121.03975,81355.766909,440893.433692
2018-03-24,30063.561784,46118.8473,257272.252129,73304.259592,406758.920805
2018-03-25,28864.955162,44378.227373,231768.563628,65637.335788,370649.081951
2018-03-26,32299.568821,54203.7074,287146.280657,80842.971054,454492.527932
2018-03-27,31470.098379,53655.962267,301278.187598,87486.681436,473890.92968
2018-03-28,29787.713452,51874.250091,299230.816494,90036.562388,470929.342425
2018-03-29,29480.788768,51774.973246,289471.413384,88221.797383,458948.9727810001
2018-03-30,28459.903384,48901.009266,259560.830388,74681.505462,411603.2485
